tananaev-traccar-192220170,ParentRunner.java,290
Adobe-Consulting-Services-acs-aem-commons-374231979,ForkedBooter.java,119
SonarSource-sonar-java-378686294,DelegatingMethodAccessorImpl.java,43
SonarSource-sonar-java-395013263,RunRules.java,20
SonarSource-sonar-java-399461954,ExplodedGraphWalker.java,210
Adobe-Consulting-Services-acs-aem-commons-358605962,ActionManagerImpl.java,341
math-70,TestResult.java,125
tananaev-traccar-255051211,ArnaviProtocolDecoderTest.java,13
SynBioDex-libSBOLj-173341447,DelegatingMethodAccessorImpl.java,43
SonarSource-sonar-java-382233150,ExternalResource.java,48
square-okhttp-93618855,UrlConnectionCacheTest.java,941
apache-incubator-shardingsphere-258496857,AbstractShardingBothForStatementWithDMLTest.java,56
Adobe-Consulting-Services-acs-aem-commons-358605968,ParentRunner.java,288
Adobe-Consulting-Services-acs-aem-commons-318849675,ProcessInstanceImpl.java,323
Adobe-Consulting-Services-acs-aem-commons-336166194,GenericReport.java,65
SonarSource-sonar-java-378686294,JUnit4Provider.java,369
SonarSource-sonar-java-391724364,ParentRunner.java,268
Adobe-Consulting-Services-acs-aem-commons-318849676,ProcessInstanceImpl.java,291
nutzam-nutz-305692165,Array2Object.java,21
atomix-atomix-327016006,RaftTest.java,335
Adobe-Consulting-Services-acs-aem-commons-315891917,ProcessInstanceImpl.java,217
apache-dubbo-416755517,FailbackClusterInvoker.java,99
SonarSource-sonar-java-341497216,SAXParserImpl.java,643
Adobe-Consulting-Services-acs-aem-commons-336166196,ProcessInstanceImpl.java,272
JacksonCore-8,JUnitTask.java,824
mitreid-connect-OpenID-Connect-Java-Spring-Server-358117230,ParentRunner.java,268
ontop-ontop-76305782,R2RMLMappingCollectionImpl.java,99
atomix-atomix-327016006,RaftTest.java,264
Adobe-Consulting-Services-acs-aem-commons-374231970,NativeMethodAccessorImpl.java,62
Adobe-Consulting-Services-acs-aem-commons-318849675,ForkedBooter.java,119
SonarSource-sonar-java-399461954,ForkedBooter.java,334
ikasanEIP-ikasan-374378168,ReflectiveCallable.java,12
IQSS-dataverse-443683466,BlockJUnit4ClassRunner.java,78
math-70,Project.java,1368
SonarSource-sonar-java-394621231,StreamScanner.java,487
Adobe-Consulting-Services-acs-aem-commons-315891916,ProcessInstanceImpl.java,361
IQSS-dataverse-402758963,ForkedBooter.java,75
SonarSource-sonar-java-382744505,SymbolicExecutionVisitor.java,74
Adobe-Consulting-Services-acs-aem-commons-358605962,ArrayList.java,1255
SonarSource-sonar-java-399094310,PomParserTest.java,82
SonarSource-sonar-java-395013263,XmlParser.java,64
apache-dubbo-416671625,ParentRunner.java,290
math-79,InvokeMethod.java,17
SonarSource-sonar-java-341497710,JavaAstScanner.java,68
Adobe-Consulting-Services-acs-aem-commons-369395858,ProcessInstanceImpl.java,344
ontop-ontop-76305782,FileDocumentSource.java,81
JacksonDatabind-80,JUnitTestRunner.java,520
chart-14,JUnitTask.java,860
math-4,ReflectiveCallable.java,12
apache-struts-147673952,MethodHelper.java,552
mitreid-connect-OpenID-Connect-Java-Spring-Server-358117230,ProviderFactory.java,165
SonarSource-sonar-java-391177444,ExplodedGraphWalker.java,210
SynBioDex-libSBOLj-109899408,FrameworkMethod.java,47
SonarSource-sonar-java-394621231,UnmarshallerImpl.java,394
Adobe-Consulting-Services-acs-aem-commons-336166192,ActionsTest.java,37
SonarSource-sonar-java-399094310,SymbolicExecutionVisitor.java,74
ontop-ontop-76305782,R2RMLMappingCollectionImpl.java,370
igniterealtime-Openfire-365059037,ParentRunner.java,271
SonarSource-sonar-java-394621231,JavaAstScannerTest.java,207
JacksonDatabind-13,ObjectIdGenerators.java,95
Adobe-Consulting-Services-acs-aem-commons-374231973,AnnotatedFieldDeserializer.java,80
SonarSource-sonar-java-394180337,SubscriptionVisitor.java,78
apache-dubbo-416671625,FutureTask.java,308
IQSS-dataverse-443683466,ParentRunner.java,290
SonarSource-sonar-java-341497216,ExternalResource.java,48
SonarSource-sonar-java-382295397,StreamScanner.java,614
SonarSource-sonar-java-394638700,JavaAstScannerTest.java,207
SonarSource-sonar-java-382099987,VisitorsBridge.java,136
yamcs-yamcs-186324159,ProcessorsTest.java,55
Adobe-Consulting-Services-acs-aem-commons-374231969,ArrayList.java,1258
Adobe-Consulting-Services-acs-aem-commons-374231973,ProcessInstanceImpl.java,298
JacksonDatabind-95,TestSuite.java,250
Adobe-Consulting-Services-acs-aem-commons-336166195,ProcessInstanceImpl.java,324
apache-dubbo-416755517,MockClusterInvokerTest.java,323
openpnp-openpnp-125418519,ForkedBooter.java,75
SonarSource-sonar-java-394638700,PomParserTest.java,82
math-4,SubLineTest.java,151
apache-dubbo-416755517,MockClusterInvokerTest.java,105
SpigotMC-BungeeCord-130330788,ConnectionThrottle.java,24
SonarSource-sonar-java-395013263,VisitorsBridgeTest.java,126
Adobe-Consulting-Services-acs-aem-commons-374231981,FolderRelocator.java,279
Adobe-Consulting-Services-acs-aem-commons-358605962,ProcessInstanceImpl.java,219
tananaev-traccar-255051211,MaestroProtocolDecoder.java,68
Adobe-Consulting-Services-acs-aem-commons-374231973,ActionManagerImpl.java,158
chart-4,JUnitTask.java,860
SonarSource-sonar-java-399461954,FrameworkMethod.java,47
Adobe-Consulting-Services-acs-aem-commons-374231969,UrlAssetImportTest.java,120
ikasanEIP-ikasan-357120989,ParentRunner.java,71
SonarSource-sonar-java-395013338,PomParserTest.java,138
atomix-atomix-327016006,RaftTest.java,376
JacksonDatabind-3,DelegatingMethodAccessorImpl.java,43
Adobe-Consulting-Services-acs-aem-commons-374231971,ProcessInstanceImpl.java,347
Adobe-Consulting-Services-acs-aem-commons-369395858,ForkedBooter.java,119
SonarSource-sonar-java-378688200,XMLDocumentScannerImpl.java,602
Adobe-Consulting-Services-acs-aem-commons-336166196,DelegatingMethodAccessorImpl.java,43
apache-incubator-shardingsphere-250416678,ProviderFactory.java,85
SonarSource-sonar-java-341335847,JavaAstScannerTest.java,186
Adobe-Consulting-Services-acs-aem-commons-358605971,Actions.java,137
Adobe-Consulting-Services-acs-aem-commons-369395857,FrameworkMethod.java,47
ikasanEIP-ikasan-388128788,JUnit4Provider.java,239
Adobe-Consulting-Services-acs-aem-commons-358605963,ArrayList.java,1255
junkdog-artemis-odb-71816517,ParentRunner.java,236
square-okhttp-93618855,HttpURLConnectionImpl.java,155
ImmobilienScout24-deadcode4j-131735009,ThreadPoolExecutor.java,1146
SonarSource-sonar-java-391177444,ParentRunner.java,290
languagetool-org-languagetool-488522531,ParentRunner.java,363
Adobe-Consulting-Services-acs-aem-commons-318849675,ParentRunner.java,325
SonarSource-sonar-java-394621231,InvokeMethod.java,17
JacksonDatabind-93,TestResult.java,122
Adobe-Consulting-Services-acs-aem-commons-315891915,JUnit4Provider.java,369
Adobe-Consulting-Services-acs-aem-commons-318849675,ProcessInstanceImpl.java,249
SonarSource-sonar-java-395013263,SymbolicExecutionVisitor.java,74
square-okhttp-93618855,Util.java,141
lang-33,TestSuite.java,255
